Data,Cliente,Perfil do Cliente,Cupom Fiscal,Campanha em Curso,Total Pago (R$),Desconto Total (%),PIX como Forma de Pagamento,Tempo desde a Última Compra (dias),Tempo para Finalizar Compra (min),Categorias Compradas,Comprou Item em Campanha de Marketing
2022-01-01,65da4212-21cf-43d5-a1de-5a9afc996329,Médio ticket e alta frequência,a5f1f2fc-027a-43c2-9471-7e7a775be9de,Livros,279.56,1.54,True,,26.4,Livros;Livros;Livros;Livros;Livros,True
2022-01-01,81f98094-fac6-4ee0-a0c9-75f52cc0cd99,Médio ticket e alta frequência,16937dcc-3f1b-4589-bb03-0c960242428c,Livros,37.83,0.43,True,,16.1,Livros,True
2022-01-01,bc3ae36d-2683-46dd-b132-044049a1ad62,Baixo ticket e baixa frequência,e9c3aaa6-01cd-4edd-ad30-b9f08b9a645a,Livros,268.46,0.89,True,,18.7,Livros;Móveis,True
2022-01-01,e6c073bb-4e7f-4b7e-8f45-6318b14f32d6,Médio ticket e alta frequência,2aa0a1ab-c8fb-4cb1-8017-eed596ef4428,Livros,2096.23,0.66,True,,13.9,Eletrodomésticos;Informática,False
2022-01-01,b4c4071c-056c-499d-84e8-944f200ffcd5,Médio ticket e baixa frequência,55161abd-a0d6-492c-8cc5-3083f3cdc7fd,Livros,59.83,0.28,True,,11.3,Livros,True
2022-01-01,b2011386-1cf4-4b1c-95d9-9493bacc5a7e,Médio ticket e alta frequência,0cf6b978-cc92-48f0-816d-d8591aff9f4d,Livros,78.26,8.99,True,,17.0,Livros;Livros,True
2022-01-01,ca4b4570-21ec-419d-b513-355c30e44bcc,Médio ticket e baixa frequência,b96b1589-937a-46f6-bab1-3424788d9ff3,Livros,488.28,5.65,True,,17.3,Móveis,False
2022-01-01,8cbe4b15-6eac-43f8-914e-2e4ae8b2e37f,Médio ticket e baixa frequência,b98fcb55-ef99-4c02-b7bd-eaf56c5c1006,Livros,62.59,5.16,True,,27.6,Livros;Livros,True
2022-01-01,f77bb5b2-d311-4c30-886b-86579dd34d09,Médio ticket e alta frequência,c4481568-5d97-465c-8583-71ad5386d463,Livros,3993.21,9.25,True,,12.5,Games,False
2022-01-01,9b869ead-b05b-4cc2-85e2-0e0e443a4c7b,Médio ticket e alta frequência,381c1b5f-14a7-4727-80ab-8b772e0c79ee,Livros,597.66,2.34,True,,23.8,Móveis;Livros,True
2022-01-01,2de8f839-f408-4744-a1a0-847412a80951,Médio ticket e alta frequência,493787e5-97d0-4abb-a2bd-51c16880fc11,Livros,280.0,0.7,True,,15.4,Livros;Livros;Livros,True
2022-01-01,5b033532-5fbc-44ca-87b6-acf483a35dc4,Médio ticket e alta frequência,9a633448-944b-45a9-86b6-dd7972fa256a,Livros,573.1,0.33,True,,16.2,Móveis,False
2022-01-02,ba7e051f-46d9-4ef2-85c5-685a4e479c03,Médio ticket e alta frequência,d2356762-fea1-4a21-a6c7-941c32c3c5e6,Livros,2487.23,1.93,True,,13.0,Eletrodomésticos;Livros;Livros;Livros,True
2022-01-02,2704032c-fa08-427d-9493-5cf8f2be3014,Médio ticket e alta frequência,d0ce5f07-27b1-468f-8aa4-e2b7ee129e31,Livros,480.51,6.33,True,,13.2,Livros;Livros;Eletrodomésticos,True
2022-01-02,8827fc21-675c-4fb6-ae12-798360bbf676,Médio ticket e alta frequência,2d8c6609-96c8-431a-9a8e-e858dc82f285,Livros,264.38,5.57,True,,6.9,Livros;Informática,True
2022-01-02,e0a6bd56-f89d-40a1-a617-f50d6043e85a,Médio ticket e alta frequência,1b22bb51-3aef-43f2-9444-f4c6de7ac02d,Livros,96.15,0.87,True,,20.4,Livros;Livros,True
2022-01-02,7dcb4a85-9fe0-42b4-b9e9-2f1ea0e811c6,Médio ticket e alta frequência,f31925eb-1c54-4c19-8312-0e19cb35f15b,Livros,2934.72,2.18,True,,14.9,Games,False
2022-01-02,1b1e8c14-12bd-46c6-b9f1-1ecdd20f4769,Médio ticket e alta frequência,4fc4e088-e633-41ec-9092-625d7265be16,Livros,195.05,8.85,True,,11.1,Livros;Livros,True
2022-01-02,79e076a4-27bf-4507-802c-8cbe1a30f46c,Médio ticket e alta frequência,685419dc-ec94-41c0-a897-58e9a16b5663,Livros,58.74,2.11,True,,11.4,Livros,True
2022-01-03,4c707469-1a84-4d56-8d65-511a6f768dbd,Médio ticket e alta frequência,d3738824-d456-4bef-8fdf-dda63dbd4f19,Livros,108.63,1.24,True,,13.2,Livros,True
2022-01-03,e6c073bb-4e7f-4b7e-8f45-6318b14f32d6,Médio ticket e alta frequência,23c57378-f460-496e-afcf-510492cf444f,Livros,36.7,0.79,True,2.0,16.8,Livros,True
2022-01-03,b46e9235-d928-4572-8b88-9f0ffc34a2c1,Médio ticket e alta frequência,202bc11b-df34-4659-8349-32dfcf2de14a,Livros,58.33,2.78,True,,14.0,Livros,True
2022-01-03,08682fbc-1b9f-456f-bbf5-1470c37c1a26,Médio ticket e alta frequência,07bc5fc7-c4b9-4d07-90df-c0c69fd1581f,Livros,29.05,6.25,True,,16.8,Livros,True
2022-01-03,24c755dd-fae0-481a-ac2a-9188f006c3d7,Médio ticket e alta frequência,c16e6e55-2549-45b5-8c39-79d39fc5cc6e,Livros,329.59,2.57,True,,6.5,Eletrodomésticos,False
2022-01-03,da01ff3a-1a48-48e1-9d8f-843355d69460,Médio ticket e alta frequência,16395d4a-3567-4492-9764-87889f2a25ee,Livros,90.19,9.8,True,,7.7,Livros,True
2022-01-03,84efbc91-cd5f-4df2-8de4-b1c52b483cd4,Médio ticket e alta frequência,4bc8a404-816b-40bb-9dea-0b77eca57ee9,Livros,2941.84,1.94,True,,7.6,Games,False
2022-01-04,c4ad79f3-58ac-4a83-a8c6-ca12d33ce6ce,Médio ticket e alta frequência,c992a02e-73c9-4b22-9294-9fbe9c108ebf,Livros,385.78,1.31,True,,16.5,Livros;Informática;Móveis,True
2022-01-04,940ee9da-6a13-4157-8169-6f2fa12d3bbd,Médio ticket e alta frequência,5df79ebb-cf37-4ea1-aaaf-821cf03ea0cd,Livros,84.88,6.72,True,,17.2,Livros;Livros,True
2022-01-04,4c707469-1a84-4d56-8d65-511a6f768dbd,Médio ticket e alta frequência,4e44a29f-71ef-4e7a-ba53-d2738794af40,Livros,28.42,8.29,True,1.0,22.9,Livros,True
2022-01-04,365bb92d-6c63-4004-89b6-430f40e27584,Médio ticket e alta frequência,4f2c633d-c3d0-4a33-b2ca-8e6febc4da15,Livros,195.02,2.49,True,,15.0,Livros,True
2022-01-04,d043f145-23e3-4c55-af03-f50ec7949a63,Médio ticket e alta frequência,4cfefea4-3edb-49d6-bef6-0452c896918c,Livros,2316.37,2.87,True,,13.2,Eletrodomésticos;Móveis,False
2022-01-04,a489aca3-ee28-4fe9-a4c2-270be3946bd0,Médio ticket e alta frequência,99847c4e-51a2-4fde-8174-a9d46e7fc61e,Livros,91.33,8.66,True,,9.3,Livros,True
2022-01-04,b2011386-1cf4-4b1c-95d9-9493bacc5a7e,Médio ticket e alta frequência,b05c75a5-823a-4141-bde1-49db23e6d114,Livros,558.63,1.48,True,3.0,16.9,Eletrodomésticos,False
2022-01-04,5b033532-5fbc-44ca-87b6-acf483a35dc4,Médio ticket e alta frequência,fa099dfa-8e5a-4f6e-bd65-74f593824d0d,Livros,4665.97,2.47,True,3.0,18.5,Livros;Livros;Games;Livros;Livros;Eletrodomésticos;Livros,True
2022-01-04,199106a9-9aa2-4293-91ce-7091771b100e,Médio ticket e alta frequência,4213bacc-a000-4ddc-8dad-2765484987d8,Livros,2117.36,5.05,True,,18.8,Livros;Games,True
2022-01-04,7dcb4a85-9fe0-42b4-b9e9-2f1ea0e811c6,Médio ticket e alta frequência,2b49a61a-6af2-4a8e-9416-d6a751ae08cf,Livros,32.85,8.72,True,2.0,5.3,Livros,True
2022-01-04,7dcb4a85-9fe0-42b4-b9e9-2f1ea0e811c6,Médio ticket e alta frequência,da99e37e-53e8-4adf-941c-e057d81fd26f,Livros,1351.56,6.78,True,0.0,27.2,Eletrodomésticos,False
2022-01-04,a14a89ba-0de7-49b7-9f93-b29b5182aa59,Médio ticket e alta frequência,36954453-cef6-4315-a2c6-1c80df8b0210,Livros,3895.23,9.41,True,,7.5,Games,False
2022-01-05,61a61362-51c0-4ca9-8800-894c7c3c9ba6,Médio ticket e alta frequência,e081866b-9413-423d-bc30-2d823dbbd055,Livros,2465.54,1.7,True,,16.6,Livros;Eletrodomésticos,True
2022-01-05,08682fbc-1b9f-456f-bbf5-1470c37c1a26,Médio ticket e alta frequência,9fedac27-dd57-4dbb-a54a-f79ae6e9c8ef,Livros,91.01,8.99,True,2.0,9.2,Livros,True
2022-01-05,365bb92d-6c63-4004-89b6-430f40e27584,Médio ticket e alta frequência,96d5cba9-0944-4d68-8b0a-5436fe25f004,Livros,28.99,6.46,True,1.0,10.8,Livros,True
2022-01-05,bf4825d4-a89b-4d06-ba65-df61e66967bd,Médio ticket e alta frequência,b23f3d15-05b0-4fdf-940e-0eee7e40b95c,Livros,1806.36,0.33,True,,5.5,Eletrodomésticos,False
2022-01-05,b4c4071c-056c-499d-84e8-944f200ffcd5,Médio ticket e baixa frequência,972e0852-fd55-4a92-8f3c-26150ad28f72,Livros,109.95,0.04,True,4.0,42.7,Livros,True
2022-01-05,81f98094-fac6-4ee0-a0c9-75f52cc0cd99,Médio ticket e alta frequência,73c18f94-3abb-47ad-bdb5-20a3f3f60f97,Livros,514.85,9.36,True,4.0,11.8,Eletrodomésticos;Informática,False
2022-01-05,a489aca3-ee28-4fe9-a4c2-270be3946bd0,Médio ticket e alta frequência,84464b1e-b252-465f-b6e8-7cd2e896dfdf,Livros,474.33,5.68,True,1.0,16.0,Móveis,False
